,Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time,lat,long,Unnamed: 0,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
64,Pirate 3D,Singapore,Pirate 3D,Buccaneer 3D printer,Yes,136x100x146,,FFF,$ 999.00,1-3 weeks,1.352083,103.819836,,,,,,,,,,,
65,SeeMeCNC,United States,SeeMeCNC,Rostock MAX v2 3D Printer Kit,DIY kit,279x279x349,,FFF,$ 999.00,5 days,37.09024,-95.712891,,,,,,,,,,,
66,Reprapsource,Germany,Reprapsource,Prusa i3 Kit Single Frame Version,DIY kit,-,,FFF,"$ 1,062.00",2-3 weeks,51.165690999999995,10.451526,,,,,,,,,,,
67,MyMatics,Netherlands,MyMatics,Mamba3D,DIY kit,200x200x200,,FFF,"$ 1,095.00",in stock,52.132633,5.291266,,,,,,,,,,,
68,mUVe 3D LLC,United States,mUVe 3D LLC,mUVe 1 3D Printer Classic,DIY kit,145x145x185,,SLA,"$ 1,099.00",2-3 weeks,37.09024,-95.712891,,,,,,,,,,,
69,3D Systems,United States,3D Systems,Cube ,Yes,152x152x152,,Plastic Jet Printing,"$ 1,099.00",Pre order,37.09024,-95.712891,,,,,,,,,,,
70,Weistek,China,Weistek,IdeaWerk Assembled,Yes,150x150x140,,FFF,"$ 1,099.00",-,35.86166,104.195397,,,,,,,,,,,
71,Eckertech,Canada,Eckertech,ecksbot 2014 fully assembled,Yes,200x200x135,,FFF,"$ 1,120.00",1-2 weeks,56.130366,-106.34677099999999,,,,,,,,,,,
72,"Hot Proceed, Inc",Japan,Hot Proceed,Blade-1,Yes,100x100x100,,FFF,"$ 1,120.00",-,36.204824,138.252924,,,,,,,,,,,
73,IRapid,Germany,iRapid,IRAPID BLACK 3D-PRINTER,Yes,100x100x100,,FFF,"$ 1,125.00",In Stock,51.165690999999995,10.451526,,,,,,,,,,,
74,Dreammaker,China,Dreammaker,dreammaker,Yes,200x200x200,,FFF,"$ 1,142.00",in stock,35.86166,104.195397,,,,,,,,,,,
75,Intelligent Machine Inc.,Taiwan,Intelligent Machine Inc.,Metalbot Metal RepRap compatible 3D printer,Yes,195x195x160 ,,FFF,"$ 1,190.00",-,23.69781,120.96051499999999,,,,,,,,,,,
76,3D Systems,United States,3D Systems,EKOCYCLE Cube,Yes,152x152x152,,FFF,"$ 1,199.00",-,37.09024,-95.712891,,,,,,,,,,,
77,Boots Industries,China,Boots Industries,BI V2.5 3D Printer,DIY kit,300x300,,FFF,"$ 1,199.00",in stock,35.86166,104.195397,,,,,,,,,,,
78,Sharebot,Italy,Sharebot,Mounting Kit Pro ,DIY kit,200x200x200,,FFF,"$ 1,231.00",30 days,41.87194,12.56738,,,,,,,,,,,
79,Ultimaker,Netherlands,Ultimaker Shop,Ultimaker Original ,DIY kit,210x210x205,,FFF,"$ 1,244.00",4-6 weeks,52.132633,5.291266,,,,,,,,,,,
80,Tinkerine Studio,Canada,Tinkerine Studio,Ditto Plus 3D printer,DIY kit,210x185x230,,FFF,"$ 1,249.00",2-4 weeks,56.130366,-106.34677099999999,,,,,,,,,,,
81,Sumpod,United Kingdom,Sumpod,Sumpod Aluminium,Yes,240x240x150,,FFF,"$ 1,286.00",sold out,55.378051,-3.435973,,,,,,,,,,,
82,Pryntech,United States,Pryntech,OpenSL v1.0,DIY kit,305x305x203,,SLA,"$ 1,295.00",out of stock,37.09024,-95.712891,,,,,,,,,,,
83,SeeMeCNC,United States,SeeMeCNC,ORION Delta 3D-printer,Yes,152(d)x203,,FFF,"$ 1,299.00",5 days,37.09024,-95.712891,,,,,,,,,,,
84,Tinkerine Studio,Canada,Tinkerine Studio,Litto 3D printer Assembled,Yes,135x120x175,,FFF,"$ 1,299.00",4-6 weeks,56.130366,-106.34677099999999,,,,,,,,,,,
85,Deezmaker,United States,Deezmaker,Bukobot 8 v2 Kit X3,DIY kit,200x200x200,,FFF,"$ 1,299.00",1-2 weeks,37.09024,-95.712891,,,,,,,,,,,
86,Afinia,United States,Afinia,Afinia H-Series,Yes,140x140x135,,FFF,"$ 1,299.00",-,37.09024,-95.712891,,,,,,,,,,,
87,Piecemake,United States,Piecemake,Piecemake,Yes,178x178x178,,FFF,"$ 1,299.00",-,37.09024,-95.712891,,,,,,,,,,,
88,Printrbot,United States,Printrbot,Assembled Printrbot PLUS ,Yes,254x254x254,,FFF,"$ 1,299.00",2-3 weeks,37.09024,-95.712891,,,,,,,,,,,
89,Natural Machines,Spain,Natural Machines,Foodini,Yes,250x165x120,,FFF,"$ 1,300.00",-,40.463667,-3.7492199999999998,,,,,,,,,,,
90,MindKits,New Zealand,MindKits,DiamondMind 3D Printer V2,DIY kit,260x250x170,,FFF,"$ 1,304.00",in stock,-40.900557,174.88597099999998,,,,,,,,,,,
91,Felix Printers,Netherlands,Felix Printers,3d Felix 3.0 Kit,DIY kit,225x205x235,,FFF,"$ 1,375.00",1-2 days,52.132633,5.291266,,,,,,,,,,,
92,Mojreprap,Poland,Mojreprap,Profabb GATE LE,Yes,190x220x230,,FFF,"$ 1,382.00",in stock,51.919438,19.145135999999997,,,,,,,,,,,
93,3D Stuffmaker,Australia,3D Stuffmaker,CREATOR  Fully  Assembled,Yes,110x130x105,,FFF,"$ 1,395.00",in stock,-25.274398,133.775136,,,,,,,,,,,
94,3D Systems,United States,3D Systems,Cube 2,Yes,140x140x140,,FFF,"$ 1,399.00",-,37.09024,-95.712891,,,,,,,,,,,
95,Makergear,United States,Makerqear,M2 3D Printer- Kit,DIY kit,203x254x203,,FFF,"$ 1,475.00",2-4 weeks,37.09024,-95.712891,,,,,,,,,,,
96,Mendel Parts,Netherlands,Mendel Parts,Orca v0.44 Unassembled,DIY kit,250x220x190 ,,FFF,"$ 1,497.00",out of stock,52.132633,5.291266,,,,,,,,,,,
97,Deezmaker,United States,Deezmaker,Bukobot 8 v2 Duo Kit (Dual Extruders),DIY kit,200x200x200,,FFF,"$ 1,499.00",1-2 weeks,37.09024,-95.712891,,,,,,,,,,,
98,mUVe 3D LLC,United States,mUVe,mUVe 1,DIY kit,145x145x185,,SLA,"$ 1,499.00",-,37.09024,-95.712891,,,,,,,,,,,
99,Tinkerine Studio,Canada,Tinkerine Studio,Ditto Plus 3D printer Assembled,Yes,210x185x230,,FFF,"$ 1,549.00",3-5 weeks,56.130366,-106.34677099999999,,,,,,,,,,,
100,ROKIT,South Korea,ROKIT,3DISON Plus,Yes,225x145x150,,FFF,"$ 1,560.00",-,35.907757000000004,127.766922,,,,,,,,,,,
101,3D Systems,United States,Cubify,Cube 3D printer,Yes,140x140x140 ,,Plastic Jet Printing (PJP),"$ 1,569.00",-,37.09024,-95.712891,,,,,,,,,,,
102,Maker's Tool Works,United States,MendelMax,MendelMax 2.0 Beta Kit,DIY kit,245x315x225,,FFF,"$ 1,595.00",10 days,37.09024,-95.712891,,,,,,,,,,,
103,Sedgwick,United States,Sedgwick,3D DLP Printer v2.0,Yes, 75x75x50,,DLP,"$ 1,595.00",out of stock,37.09024,-95.712891,,,,,,,,,,,
104,Spiderbot,France,Spiderbot,SpiderBot Eco Kit v1.2 ,DIY kit,180x180x180,,FFF,"$ 1,595.00",out of stock / pre-order,46.227638,2.213749,,,,,,,,,,,
105,IT IS 3D,United Kingdom,IT IS 3D,Maxit,DIY kit,210x160x100,,,"$ 1,610.00",-,55.378051,-3.435973,,,,,,,,,,,
106,Kentstrapper ,Italy,Kentstrapper,KENTSTRAPPER VOLTA BETA ,Yes,260x280x190,,FFF,"$ 1,627.00",-,41.87194,12.56738,,,,,,,,,,,
107,PP3DP,China,PP3DP,UP! Plus 2,Yes,140x140x135,,FFF,"$ 1,649.00",3-4 weeks,35.86166,104.195397,,,,,,,,,,,
108,Leapfrog,Netherlands,Leapfrog,Creatr,Yes,300x250x260 ,,FFF,"$ 1,669.00",3-4 weeks,52.132633,5.291266,,,,,,,,,,,
109,Extru3D,France,Multistation,Extru3D V2,DIY kit,275x205x210,,FFF,"$ 1,684.00",-,46.227638,2.213749,,,,,,,,,,,
110,Builder,Netherlands,Code-p,Builder,Yes,220x220X175,,FFF,"$ 1,694.00",3-5 days,52.132633,5.291266,,,,,,,,,,,
111,Makex,China,Makex,Makex M-Ohe,Yes,140x110x170,,DLP-SLA,"$ 1,699.00",-,35.86166,104.195397,,,,,,,,,,,
112,York 3D Printers,United Kingdom,York 3D Printers,Buildabot 'Revolution' 3d Printer Kit,DIY kit,210x210x160,,FFF,"$ 1,700.00",3-5 weeks,55.378051,-3.435973,,,,,,,,,,,
113,Lulzbot,United States,Lulzbot,AO-101 3D Printer,Yes,200x190x100,,FFF,"$ 1,725.00",In stock,37.09024,-95.712891,,,,,,,,,,,
114,MakerDreams,Italy,MakerDreams ,iNvent One - Black,Yes,280x210x200,,FFF,"$ 1,770.00",-,41.87194,12.56738,,,,,,,,,,,
115,Makergear,United States,Makergear,M2 3DPrinter-Assembled,Yes,203x254x203,,FFF,"$ 1,775.00",2-4 weeks,37.09024,-95.712891,,,,,,,,,,,
116,Sharebot,Italy,Sharebot,Sharebot Pro ,Yes,200x200x200,,FFF,"$ 1,781.00",-,41.87194,12.56738,,,,,,,,,,,
117,ORD solutions inc,Canada,ORD solutions inc,MH3000 - 3D Printer Fully assembled ,Yes,284x302x192,,FFF,"$ 1,799.00",-,56.130366,-106.34677099999999,,,,,,,,,,,
118,Actuity Design,United States,Actuity Design,Acuity MendelMax 3D-printer,Yes,200x140x200,,FFF,"$ 1,800.00",out of stock,37.09024,-95.712891,,,,,,,,,,,
119,Fabbster,Germany,Fabbster,Fabbster kit,DIY kit,230x230x210,,SDM,"$ 1,800.00",,51.165690999999995,10.451526,,,,,,,,,,,
120,Spiderbot,France,Spiderbot,SpiderBot Full Kit v1.2 ,DIY kit,180x180x180,,FFF,"$ 1,845.00",out of stock / pre-order,46.227638,2.213749,,,,,,,,,,,
121,ATOM 3dp,Taiwan,ATOM 3dp,Atom 3D-printer,Yes,-,,FFF,"$ 1,865.00",in stock,23.69781,120.96051499999999,,,,,,,,,,,
122,Metamquina,Brazil,Metamquina,Metamquina 2,DIY kit,200x200x150,,FFF,"$ 1,876.00",-,-14.235004,-51.92528,,,,,,,,,,,
123,VAGLER,Malaysia,VAGLER,V-811,Yes,270x200x250,,FFF,"$ 1,895.00",67 weeks,4.210483999999999,101.97576600000001,,,,,,,,,,,
124,Airwolf 3D,United States,Airwolf 3D,AW3D XL,DIY kit,300x200x178,,FFF,"$ 1,895.00",10 days,37.09024,-95.712891,,,,,,,,,,,
125,Kudo3D,United States,kudo3D,Titan 1 DLP,Yes,192x108x241,,DLP-SLA,"$ 1,899.00",-,37.09024,-95.712891,,,,,,,,,,,
126,Zortrax,Poland,Zortrax Sp. z o. o,Zortrax M200,Yes,200x200x185,,FFF,"$ 1,899.00",In stock,51.919438,19.145135999999997,,,,,,,,,,,
127,Tinkerine Studio,Canada,Tinkerine,Dittopro,Yes,225x165x205,,FFF,"$ 1,899.00",-,56.130366,-106.34677099999999,,,,,,,,,,,
128,TripodMaker ,Belgium,TripodMaker,TripodMaker 3D printer,Yes,300(diameter)x420,,FFF,"$ 1,905.00",6  8 weeks,50.503887,4.469936,,,,,,,,,,,
129,Sharebot,Italy,Sharebot,NG Next Generation,Yes,200x200x200,,FFF,"$ 1,917.00",Okt 2013,41.87194,12.56738,,,,,,,,,,,
130,Sasan Seyedi,United States,Sasan Seyedi,Cyrus 3D printer,Yes,195x195x200,,FFF,"$ 1,930.00",-,37.09024,-95.712891,,,,,,,,,,,
131,Makerbot,United States,Makerbot,MakerBot Replicator 2 ,Yes,285x153x155,,FFF,"$ 1,949.00",out of stock,37.09024,-95.712891,,,,,,,,,,,
132,Zion3D,United States,Zion3D,Zion 16,Yes,394x394x406 ,,FFF,"$ 1,949.00",2-3 Weeks,37.09024,-95.712891,,,,,,,,,,,
133,Omni3d,Poland,Omni3d,RapCraft 1.3 Kit,DIY kit,210x210x240,,FFF,"$ 1,976.00",in stock,51.919438,19.145135999999997,,,,,,,,,,,
134,Shark,Lebanon,Shark,Shark,Yes,220x220x165,,FFF,"$ 1,980.00",7-15 days,33.854721000000005,35.862285,,,,,,,,,,,
135,Hyrel 3D,United States,Hyrel 3D,Tinkerer E1,Yes,200x200x200,,FFF,"$ 1,995.00",-,37.09024,-95.712891,,,,,,,,,,,
136,Stalactite,Spain,Stalactite,Stalactite 102 ,Yes,102x77x180,,DLP,"$ 1,999.00",-,40.463667,-3.7492199999999998,,,,,,,,,,,
137,RAISE3D,United States,RAISE3D,N1 FFF 3D Printer,Yes,205x205x205,,FFF,"$ 1,999.00",In stock,37.09024,-95.712891,,,,,,,,,,,
138,Makerbot,United States,Makerbot,Replicator Mini,Yes,100x100x125,,FFF,"$ 2,000.00",2-3 days,37.09024,-95.712891,,,,,,,,,,,
139,MiniFactory,Finland,miniFactory,miniFactory 3D printer,Yes,140x150x140 ,,FFF,"$ 2,026.00",3~5 days,61.92411,25.748151,,,,,,,,,,,
140,be3D,Czech Republic,be3D,DeeGreen,Yes,150x150x150,,FFF,"$ 2,041.00",2 days,49.817492,15.472961999999999,,,,,,,,,,,
141,ZMorph,Poland,ZMorph,ZMorph3d,Yes,235x230x165,,FFF,"$ 2,122.00",31 days,51.919438,19.145135999999997,,,,,,,,,,,
142,Hyrel 3D,United States,Hyrel 3D,Hobbyist E2,Yes,200x200x200,,FFF,"$ 2,145.00",-,37.09024,-95.712891,,,,,,,,,,,
143,Lulzbot,United States,Lulzbot,TAZ 3D-printer,Yes,298x275x250,,FFF,"$ 2,195.00",in stock,37.09024,-95.712891,,,,,,,,,,,
144,VAGLER,Malaysia,VAGLER,V-821,Yes,270x200x250,,FFF,"$ 2,295.00",Out  stock,4.210483999999999,101.97576600000001,,,,,,,,,,,
145,Airwolf 3D,United States,Airwolf 3D,AW3D XL Assembled,Yes,300x200x178,,FFF,"$ 2,295.00",In stock,37.09024,-95.712891,,,,,,,,,,,
146,MiiCraft,Taiwan,Rays Opitcs,MiiCraft 3D printer ,Yes,43x27x180,,SLA,"$ 2,299.00",4-8 weeks,23.69781,120.96051499999999,,,,,,,,,,,
147,Omni3d,Poland,Omni3d,RapCraft 1.3,Yes,210x210x240,,FFF,"$ 2,302.00",in stock,51.919438,19.145135999999997,,,,,,,,,,,
148,CB-Printer,Poland,CB-Printer,3D Printer CB-printer KIT,DIY kit,200x200x180 ,,FFF,"$ 2,380.00",-,51.919438,19.145135999999997,,,,,,,,,,,
149,York 3D Printers,United Kingdom,York 3D Printers,Buildabot 'Revolution' 3d Printer - Fully Built,Yes,210x210x160,,FFF,"$ 2,381.00",In stock,55.378051,-3.435973,,,,,,,,,,,
150,Dreammaker,China,Dreammaker,dreammaker max,Yes,200x200x200,,FFF,"$ 2,396.00",in stock,35.86166,104.195397,,,,,,,,,,,
151,Isis3D,United States,Isis3D,Isis One - Dual Extruder,Yes,300x300x225,,FFF,"$ 2,399.00",pre order,37.09024,-95.712891,,,,,,,,,,,
152,Leapfrog,Netherlands,Leapfrog,Creatr Hs,Yes,270x280x180,,FFF,"$ 2,446.00", 4 weeks,52.132633,5.291266,,,,,,,,,,,
153,Hyrel 3D,United States,Hyrel 3D,Apprentice E3,Yes,200x200x200,,FFF,"$ 2,495.00",-,37.09024,-95.712891,,,,,,,,,,,
154,VAGLER,Malaysia,VAGLER,V-822,Yes,250x200x250,,FFF,"$ 2,495.00", out of stock,4.210483999999999,101.97576600000001,,,,,,,,,,,
155,AIO Robotics,United States,AIO Robotics,ZEUS All-In-One 3D Printer,Yes,204x153x145,,FFF,"$ 2,499.00",6-8 weeks,37.09024,-95.712891,,,,,,,,,,,
156,Ultimaker,Netherlands,Ultimaker Shop,The Ultimaker 2 ,Yes,230x225x205,,FFF,"$ 2,500.00",4-6 weeks,52.132633,5.291266,,,,,,,,,,,
157,Kentstrapper ,Italy,,MENDEL MAX ,Yes,400x400x300,,FFF,"$ 2,500.00",-,41.87194,12.56738,,,,,,,,,,,
158,3D Kits,Spain,3D Kits,Status 3D printer,Yes,205x205x205,,FFF,"$ 2,503.00",-,40.463667,-3.7492199999999998,,,,,,,,,,,
159,Kikai labs,Argentina,Kikai labs,T125,Yes,200x200x195,,FFF,"$ 2,537.00",3 weeks,-38.416097,-63.616671999999994,,,,,,,,,,,
160,ORD solutions inc,Canada,ORD solutions inc,MH3000 - 5 Color/Material 3D,Yes,284x302x192,,FFF,"$ 2,599.00",-,56.130366,-106.34677099999999,,,,,,,,,,,
161,3D Systems,United States,Cubify,CubeX 3D printer,Yes,275x265x240,,FFF,"$ 2,615.00",-,37.09024,-95.712891,,,,,,,,,,,
162,CB-Printer,Poland,CB-Printer,3D Printer CB-printer.com ,Yes,200x200x180 ,,FFF,"$ 2,652.00",-,51.919438,19.145135999999997,,,,,,,,,,,
163,Something3D,Israel,Something 3D,Something3D1D,Yes,300x270x270,,FFF,"$ 2,689.00",-,31.046051000000002,34.851612,,,,,,,,,,,
164,Hyrel 3D,United States,Hyrel 3D,Journeyman E4,Yes,200x200x200,,FFF,"$ 2,695.00",-,37.09024,-95.712891,,,,,,,,,,,
